Name,Age,Power,Category,subcategory,Date,Date2,Score
Spider-Man,25,8,Star,Alpha,29-04-2024,29-04-2024,10
Iron Man,40,9,Star,Alpha,30-04-2024,30-04-2024,10
Captain America,100,7,Star,Alpha,01-05-2024,30-04-2024,10
Thor,1500,9,Star,Alpha,02-05-2024,02-05-2024,10
Black Widow,35,8,Star,Alpha,03-05-2024,03-05-2024,10
Hulk,45,7,Star,Beta,04-05-2024,04-05-2024,10
Black Panther,35,9,Star,Beta,05-05-2024,05-05-2024,10
Captain Marvel,35,8,Star,Beta,06-05-2024,06-05-2024,10
Doctor Strange,45,7,Star,Beta,07-05-2024,07-05-2024,10
Wolverine,150,7,Star,Gamma,08-05-2024,08-05-2024,10
Storm,35,7,Galaxy,Gamma,09-05-2024,09-05-2024,10
Groot,50,6,Galaxy,Gamma,10-05-2024,09-05-2024,10
Star-Lord,40,6,Galaxy,Gamma,11-05-2024,09-05-2024,10
Drax the Destroyer,50,7,Galaxy,Gamma,12-05-2024,12-05-2024,10
Rocket,10,5,Galaxy,Gamma,13-05-2024,13-05-2024,10
Gamora,35,8,Galaxy,Delta,14-05-2024,14-05-2024,10
Scarlet Witch,30,9,Galaxy,Delta,15-05-2024,14-05-2024,10
Vision,10,8,Galaxy,Delta,16-05-2024,16-05-2024,10
Hawkeye,45,6,Galaxy,Delta,17-05-2024,16-05-2024,10
Falcon,40,4,Galaxy,Delta,18-05-2024,18-05-2024,10
